season,field_code,ice_season_length
2017,LN027,15
2017,LN027,3
2017,LN028,14
2017,LN028,77
2017,LN028,28
2017,LN029,0
2017,LN029,32
2017,LP024,8
2017,LP027,49
2017,LP028,7
2017,LP028,35
2017,LP028,70
2017,LP028,34
2017,LP029,0
2017,LS019,0
2017,LS028,0
2017,LS029,18
2017,LT026,72
2017,LT027,280
2017,LT027,19
2017,LT027,10
2017,LT028,114
2017,LT028,14
2017,LT028,4
2017,LT028,60
2017,LT029,67
2017,LT029,0
2017,LT029,6
2017,LV023,0
2017,LV024,99
2017,LV025,0
2017,LV025,25
2017,LV025,0
2017,LV025,0
2017,LV025,84
2017,LV026,106
2017,LV026,88
2017,LV027,137
2017,LV027,0
2017,LV027,42
2017,LV027,44
2017,LV027,4
2017,LV028,81
2017,LV028,0
2017,LV028,60
2017,LV028,23
2017,LV029,21
2017,LV029,33
2017,LV029,58
2017,LX021,0
2017,LX022,60
2017,LX022,72
2017,LX023,93
2017,LX023,32
2017,LX023,5
2017,LX023,95
2017,LX024,5
2017,LX024,0
2017,LX024,97
2017,LX024,37
2017,LX024,97
2017,LX024,0
2017,LX024,0
2017,LX024,91
2017,LX024,33
2017,LX024,5
2017,LX024,111
2017,LX025,0
2017,LX025,14
2017,LX025,50
2017,LX025,96
2017,LX026,96
2017,LX026,0
2017,LX026,31
2017,LX026,0
2017,LX026,95
2017,LX026,83
2017,LX027,96
2017,LX027,16
2017,LX027,14
2017,LX027,110
2017,LX027,5
2017,LX027,81
2017,LX028,72
2017,LX028,16
2017,LX028,29
2017,LX029,84
2017,LX029,0
2017,LX029,0
2017,LZ017,0
2017,LZ018,31
2017,LZ018,0
2017,LZ018,61
2017,LZ019,5
2017,LZ019,35
2017,LZ020,35
2017,LZ020,26
2017,LZ021,5
2017,LZ021,34
2017,LZ021,11
