sellers_locality,seasonal_year,vessel_type,ppk
Saqqaq,2013,water,15.243421676372558
Saqqaq,2014,ice,16.47620987014124
Saqqaq,2014,water,17.817567639815312
Saqqaq,2015,ice,15.057692307692308
Saqqaq,2015,water,18.814958171268664
Saqqaq,2016,ice,16.985141509433962
Saqqaq,2016,water,18.646907216494846
Saqqaq,2017,ice,17.195750692435666
Saqqaq,2017,water,18.16322882331968
Saqqaq,2018,ice,21.636363636363637
Saqqaq,2018,water,20.27336828808636
Saqqaq,2019,ice,16.16810344827586
Saqqaq,2019,water,19.58845308432987
Saqqaq,2020,ice,11.296052631578947
Saqqaq,2020,water,17.374425174139674
Saqqaq,2021,ice,21.500009209964734
Saqqaq,2021,water,17.45399795013586
Saqqaq,2022,ice,19.13492497381167
Saqqaq,2022,water,19.801288120890547
Sarfannguit,2012,water,6.530864197530864
Sarfannguit,2013,water,5.835648673575138
Sarfannguit,2014,ice,7.745535714285714
Sarfannguit,2014,water,6.804287817382353
Sarfannguit,2015,water,6.752665740772792
Sarfannguit,2016,ice,8.0
Sarfannguit,2016,water,7.374015400748835
Sarfannguit,2017,ice,6.0
Sarfannguit,2017,water,7.658133146384538
Sarfannguit,2018,ice,8.0
